Actual Price,Predicted Price
26339.7,26604.71262848377
26845.899999999998,26449.72604474425
28307.699999999997,26903.6173476994
29996.899999999998,28266.057751506563
29890.499999999996,30391.53733716011
30679.399999999998,30325.01123782992
30533.599999999995,30734.53511340618
30465.3,30853.01737554669
30266.999999999996,30712.96002283096
30689.099999999995,30313.11314589381
30078.599999999995,30378.071414661405
30445.7,30248.829915285107
30472.9,30500.98062059879
30586.799999999996,30517.96762923598
30617.699999999997,30431.13159149289
31151.3,30418.978727090354
30768.399999999998,31021.676748317477
30512.8,30799.47596183419
29913.099999999995,30538.109896880385
30346.4,29962.522279131408
30288.799999999996,30097.01601089239
30166.899999999998,30358.77621102929
30415.299999999996,30100.171269899605
30623.3,30297.670014852283
30387.299999999996,30543.455763590333
31466.099999999995,30514.799304974076
30317.4,31317.188856399058
30291.399999999998,30499.785149794814
30235.499999999996,30125.14114915132
30139.699999999997,30297.480568659303
29866.8,30074.42618553638
29909.7,29815.233307945724
29801.0,29817.491419464346
29903.1,29707.732392370697
29788.9,29821.602619606252
30085.899999999998,29818.109841519592
29178.1,29906.16312549114
29228.6,29228.63603557944
29352.199999999997,29104.4507897675
29222.699999999997,29366.57681703567
29314.999999999996,29201.791292279955
29353.5,29266.78440172672
29281.699999999997,29356.057109469173
29232.4,29292.209387350078
29712.199999999997,29139.254450714587
29173.7,29649.232714504
29189.299999999996,29221.519826859232
29105.499999999996,29125.47060701847
29068.1,29204.748394924398
29081.299999999996,29054.944362211223
29204.2,29036.243627667423
29777.4,29178.297786808012
29578.0,29670.68150761723
29449.0,29775.36468326449
29420.8,29410.63503338694
29428.199999999997,29394.144504427906
29300.099999999995,29394.01820696592
29426.7,29308.17077349424
29195.299999999996,29438.074245774744
28726.299999999996,29191.67660760879
26635.7,28778.15258655548
26053.199999999997,26709.554764729735
26099.399999999998,25530.05405706763
26190.8,25646.877031862732
26125.999999999996,25999.28614656925
26039.899999999998,26093.68261169195
26436.199999999997,26010.554928737878
26176.999999999996,26410.312526434656
26057.2,26359.92854927182
26017.099999999995,25886.4676723361
26100.6,25682.57784029841
26118.899999999998,26060.065711379048
27723.9,26399.272386223074
27298.8,27828.19751605391
25937.299999999996,27704.79400798082
25803.199999999997,26059.155498635766
25869.699999999997,25430.89530661106
25970.999999999996,25611.711898869275
25823.299999999996,25822.19097435474
25790.199999999997,25924.740158402918
25758.0,25770.99912894368
26249.799999999996,25904.005599212644
25909.5,26438.021754086014
25901.1,25756.13740173578
25840.199999999997,25453.985966730117
25166.399999999998,25697.57675268054
25834.499999999996,25355.20175357461
26223.0,25810.486683696505
26524.699999999997,26330.21816011071
26600.999999999996,26614.78376230597
26561.999999999996,26693.980981141325
26529.099999999995,26523.705871874092
26763.5,26493.100512766836
27209.2,26749.064094907044
27124.999999999996,27246.434387922283
26570.0,27375.95679027438
26581.9,26761.641580086944
26579.2,26528.485577547548
26251.5,26462.521284168957
26302.699999999997,26137.3183848083
26218.9,26135.082048714157
26366.1,26155.59667611718
27022.599999999995,26429.892988127467
26909.8,27124.28296675682
26962.7,27039.45680069327
27974.5,26863.942524296042
27505.299999999996,27928.111873739956
27428.399999999998,27820.282149255272
27790.9,27432.64693036675
27410.299999999996,27845.014676380153
27936.899999999998,27581.22282913923
27961.1,27899.45323758125
27922.699999999997,28075.919100028274
27581.4,27856.793003481624
27390.999999999996,27632.40378683805
26876.599999999995,27402.146093297
26761.1,26837.24367634058
26863.499999999996,26602.88784791231
26852.8,26734.69666983485
27161.2,26876.02570734024
28509.7,27198.702657461163
28403.6,28465.080776172872
28321.7,28675.803736412523
28722.999999999996,28393.448339802024
29674.499999999996,28681.54156076312
29912.9,29728.841488862035
29984.199999999997,30218.19407058358
33041.8,30195.436574459072
33917.0,32883.14237740039
34496.8,34500.92140866518
34153.7,34980.92144557237
33901.8,34358.046316021675
34082.6,33707.12661728263
34526.7,34037.80603590011
34477.9,34613.151946437356
34650.6,34451.43893407583
35423.8,34620.62309457659
34931.4,35539.85304113626
34718.7,35124.70021833181
35065.8,34256.90600193739
35019.4,34558.23650344014
35042.0,34864.25960891842
35426.1,35099.329671269654
35636.9,35541.40998398661
36700.5,35602.585861521955
37302.99999999999,36639.564238417144
37150.5,37283.10206825733
37064.399999999994,37096.221020281315
36478.3,36865.227317392826
35549.3,36434.572569900745
37874.899999999994,35593.89093452692
36161.2,37377.55950456858
36595.4,36538.71353747844
36568.59999999999,36227.873708105086
37354.19999999999,36458.42972496152
37454.1,37071.20976772308
35813.6,37322.45026029348
37410.8,35815.52120488882
37293.09999999999,36698.74548707008
37717.3,37500.69081983566
37786.99999999999,37828.802915906905
37451.799999999996,37700.78519538641
37248.6,37213.30312262773
37823.299999999996,37048.1452381134
37855.49999999999,37737.02385680675
37712.899999999994,37644.304099369045
38688.19999999999,37474.02899010181
39458.399999999994,38538.32028192282
39970.2,39655.369072175024
41987.799999999996,39849.13550937176
44076.2,41790.4407323122
43776.299999999996,43997.715344941615
43289.69999999999,44138.85058116913
44175.49999999999,43521.31696324348
43718.4,43760.46774014234
43790.99999999999,43754.239968740934
41256.09999999999,43552.20758041143
41487.0,41286.191582703585
42884.49999999999,40696.48695726394
43025.9,42335.261852812764
41929.0,43125.64008009434
42271.69999999999,41577.812422430514
41368.69999999999,41470.546681439875
42659.69999999999,41271.79367203712
42259.3,42238.81414270401
43662.799999999996,42158.01425262689
43865.899999999994,42965.59071016312
43968.9,44031.44547746181
43710.399999999994,44220.199211943145
42981.49999999999,43472.22644629478
43578.49999999999,42478.200094187254
42513.299999999996,42922.59295698404
43446.49999999999,42401.89029663801
42581.09999999999,43075.24303767681
42072.399999999994,42549.32734071016
42136.7,41839.84481537342
42272.49999999999,41687.51265587806
44183.399999999994,41726.425339424604
44943.69999999999,43499.4762124896
42836.09999999999,44839.21355873346
